crop_type,district,rainfall,temperature,humidity,soil_type,soil_ph,water_availability,area,fertilizer,pesticide,production,yield
Groundnut,Rajanna Sircilla,810,30,60,Black,6.7,Medium,146057.0,22995214.08,55501.66,326551,2.1725
Jowar,Rangareddy,720,30,60,Sandy,6.3,Low,43138.0,6791646.72,16392.44,40723,0.921363636
Jowar,Sangareddy,760,30,60,Black,6.7,Low,24174.0,3805954.56,9186.12,32672,1.34625
Maize,Siddipet,790,30,60,Loamy,6.4,Low,463203.0,72926680.32,176017.14,1597928,4.169333333
Maize,Suryapet,750,30,60,Clay,6.5,Low,167254.0,26332469.76,63556.52,1154219,6.646333333
Moong(Green Gram),Vikarabad,800,30,60,Loamy,6.4,Medium,91534.0,14411112.96,34782.92,58434,0.663
Moong(Green Gram),Wanaparthy,730,30,60,Loamy,6.4,Low,6880.0,1083187.2,2614.4,5723,0.835416667
Onion,Warangal,870,30,60,Black,6.7,Medium,4319.0,679983.36,1641.22,79105,18.15833333
Onion,Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,9378.0,1476472.32,3563.64,341048,34.61428571
Potato,Adilabad,920,28,70,Black,6.7,Medium,19.0,2991.36,7.22,163,7.94
Potato,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,2160.0,340070.4,820.8,25925,11.048
Ragi,Hanumakonda,860,30,60,Black,6.7,Medium,1181.0,185936.64,448.78,1355,1.18
Ragi,Hyderabad,700,32,55,Sandy,6.3,Low,274.0,43138.56,104.12,300,1.185
Rice,Jagtial,850,30,60,Black,6.7,Medium,1046987.0,164837633.3,397855.06,2946004,2.672333333
Rice,Jangaon,800,30,60,Loamy,6.4,Medium,915389.0,144118844.2,347847.82,3317425,3.532666667
Safflower,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,3862.0,608033.28,1467.56,2189,0.60625
Sesamum,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,1072.0,168775.68,407.36,252,0.217857143
Sesamum,Kamareddy,840,30,60,Loamy,6.4,Medium,15236.0,2398755.84,5789.68,8672,0.576086957
Small Millets,Karimnagar,830,30,60,Black,6.7,Medium,288.0,45342.72,109.44,382,1.33
Soyabean,Khammam,1000,30,60,Clay,6.5,High,152289.0,23976380.16,57869.82,247298,1.584090909
Sugarcane,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,35788.0,5634462.72,13599.44,2663092,77.33636364
Sunflower,Mahabubabad,900,30,60,Clay,6.5,Medium,411.0,64707.84,156.18,871,1.98
Sunflower,Mahabubnagar,730,32,55,Loamy,6.4,Low,3242.0,510420.48,1231.96,6924,2.028888889
Sweet Potato,Mancherial,890,30,60,Black,6.7,Medium,199.0,31330.56,75.62,1542,7.776666667
Tobacco,Medak,780,30,60,Black,6.7,Low,651.0,102493.44,247.38,1871,3.32
Tobacco,Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,3460.0,544742.4,1314.8,10646,3.88
Turmeric,Mulugu,1150,28,70,Clay,6.5,High,50154.0,7896245.76,19058.52,294561,5.892380952
Urad,Nagarkurnool,760,30,60,Loamy,6.4,Low,32181.0,5066576.64,12228.78,25976,0.813333333
Urad,Nalgonda,770,32,55,Clay,6.5,Low,6298.0,991557.12,2393.24,5537,0.899130435
Wheat,Narayanpet,700,32,55,Sandy,6.3,Low,2.0,314.88,0.76,2,1.0
Wheat,Nirmal,910,28,70,Black,6.7,Medium,4156.0,654320.64,1579.28,5771,1.429
Arhar/Tur,Nizamabad,880,30,60,Loamy,6.4,Medium,295753.0,47971136.6,103513.55,191176,0.7115625
Arhar/Tur,Peddapalli,820,30,60,Black,6.7,Medium,360.0,58392.0,126.0,221,0.675384615
Bajra,Rajanna Sircilla,810,30,60,Black,6.7,Medium,519.0,84181.8,181.65,258,0.455714286
Bajra,Rangareddy,720,30,60,Sandy,6.3,Low,7459.0,1209849.8,2610.65,3706,0.25
Banana,Sangareddy,760,30,60,Black,6.7,Low,1518.0,246219.6,531.3,93466,61.47185185
Cashewnut,Siddipet,790,30,60,Loamy,6.4,Low,1509.0,244759.8,528.15,371,0.246666667
Castor Seed,Suryapet,750,30,60,Clay,6.5,Low,19489.0,3161115.8,6821.15,14853,0.724
Castor Seed,Vikarabad,800,30,60,Loamy,6.4,Medium,463.0,75098.6,162.05,304,0.785555556
Coriander,Wanaparthy,730,30,60,Loamy,6.4,Low,7.0,1135.4,2.45,7,1.0
Coriander,Warangal,870,30,60,Black,6.7,Medium,1005.0,163011.0,351.75,1004,0.992727273
Cotton(Lint),Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,1839735.0,298405017.0,643907.25,3847336,2.184375
Cowpea(Lobia),Adilabad,920,28,70,Black,6.7,Medium,1310.0,212482.0,458.5,1045,0.81
Cowpea(Lobia),Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,3925.0,636635.0,1373.75,4411,1.134090909
Dry Chillies,Hanumakonda,860,30,60,Black,6.7,Medium,74559.0,12093469.8,26095.65,320087,4.320967742
Dry Chillies,Hyderabad,700,32,55,Sandy,6.3,Low,7962.0,1291436.4,2786.7,48929,6.026666667
Garlic,Jagtial,850,30,60,Black,6.7,Medium,86.0,13949.2,30.1,220,2.463333333
Ginger,Jangaon,800,30,60,Loamy,6.4,Medium,1615.0,261953.0,565.25,11166,6.954
Ginger,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,8.0,1297.6,2.8,55,6.915
Gram,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,104391.0,16932220.2,36536.85,163835,1.575
Groundnut,Kamareddy,840,30,60,Loamy,6.4,Medium,13157.0,2134065.4,4604.95,32947,2.439565217
Groundnut,Karimnagar,830,30,60,Black,6.7,Medium,113355.0,18386181.0,39674.25,282189,2.329
Horse-Gram,Khammam,1000,30,60,Clay,6.5,High,144.0,23356.8,50.4,92,0.654
Horse-Gram,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,736.0,119379.2,257.6,467,0.668571429
Jowar,Mahabubabad,900,30,60,Clay,6.5,Medium,34894.0,5659806.8,12212.9,32485,0.941904762
Jowar,Mahabubnagar,730,32,55,Loamy,6.4,Low,21185.0,3436207.0,7414.75,35026,1.624230769
Maize,Mancherial,890,30,60,Black,6.7,Medium,426342.0,69152672.4,149219.7,1323976,3.95625
Maize,Medak,780,30,60,Black,6.7,Low,116724.0,18932632.8,40853.4,759015,6.026451613
Moong(Green Gram),Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,65643.0,10647294.6,22975.05,41307,0.618
Moong(Green Gram),Mulugu,1150,28,70,Clay,6.5,High,6648.0,1078305.6,2326.8,6301,0.961923077
Onion,Nagarkurnool,760,30,60,Loamy,6.4,Low,4812.0,780506.4,1684.2,62954,12.82
Onion,Nalgonda,770,32,55,Clay,6.5,Low,7422.0,1203848.4,2597.7,216343,28.15518519
Potato,Narayanpet,700,32,55,Sandy,6.3,Low,8.0,1297.6,2.8,24,3.0
Potato,Nirmal,910,28,70,Black,6.7,Medium,1939.0,314505.8,678.65,36016,16.048
Ragi,Nizamabad,880,30,60,Loamy,6.4,Medium,1034.0,167714.8,361.9,1011,0.974285714
Ragi,Peddapalli,820,30,60,Black,6.7,Medium,176.0,28547.2,61.6,173,0.994285714
Rice,Rajanna Sircilla,810,30,60,Black,6.7,Medium,1189264.0,192898620.8,416242.4,4135049,3.3065625
Rice,Rangareddy,720,30,60,Sandy,6.3,Low,742508.0,120434797.6,259877.8,2533895,3.208125
Safflower,Sangareddy,760,30,60,Black,6.7,Low,2552.0,413934.4,893.2,1543,0.749
Sesamum,Siddipet,790,30,60,Loamy,6.4,Low,770.0,124894.0,269.5,132,0.167857143
Sesamum,Suryapet,750,30,60,Clay,6.5,Low,16893.0,2740044.6,5912.55,11831,0.687727273
Small Millets,Vikarabad,800,30,60,Loamy,6.4,Medium,96.0,15571.2,33.6,97,0.986666667
Small Millets,Wanaparthy,730,30,60,Loamy,6.4,Low,24.0,3892.8,8.4,24,1.0
Soyabean,Warangal,870,30,60,Black,6.7,Medium,148113.0,24023928.6,51839.55,234599,1.544705882
Sugarcane,Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,39824.0,6459452.8,13938.4,3169577,80.47047619
Sunflower,Adilabad,920,28,70,Black,6.7,Medium,124.0,20112.8,43.4,243,1.98
Sunflower,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,2414.0,391550.8,844.9,4733,1.984
Sweet Potato,Hanumakonda,860,30,60,Black,6.7,Medium,6.0,973.2,2.1,38,6.33
Sweet Potato,Hyderabad,700,32,55,Sandy,6.3,Low,83.0,13462.6,29.05,527,6.35
Tobacco,Jagtial,850,30,60,Black,6.7,Medium,1150.0,186530.0,402.5,3423,4.306666667
Tobacco,Jangaon,800,30,60,Loamy,6.4,Medium,2891.0,468920.2,1011.85,9132,4.26
Turmeric,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,53104.0,8613468.8,18586.4,345270,6.31
Urad,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,26783.0,4344202.6,9374.05,22628,0.862307692
Urad,Kamareddy,840,30,60,Loamy,6.4,Medium,5289.0,857875.8,1851.15,7828,1.3956
Wheat,Karimnagar,830,30,60,Black,6.7,Medium,4844.0,785696.8,1695.4,9093,1.807
Arhar/Tur,Khammam,1000,30,60,Clay,6.5,High,294597.0,50599980.72,109000.89,265906,1.5628125
Arhar/Tur,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,333.0,57196.08,123.21,230,0.775833333
Bajra,Mahabubabad,900,30,60,Clay,6.5,Medium,829.0,142389.04,306.73,1007,1.1275
Bajra,Mahabubnagar,730,32,55,Loamy,6.4,Low,8250.0,1417020.0,3052.5,9509,1.005833333
Banana,Mancherial,890,30,60,Black,6.7,Medium,1670.0,286839.2,617.9,98707,59.12423077
Cashewnut,Medak,780,30,60,Black,6.7,Low,1521.0,261246.96,562.77,465,0.306666667
Castor Seed,Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,25921.0,4452190.96,9590.77,33945,1.277222222
Castor Seed,Mulugu,1150,28,70,Clay,6.5,High,2046.0,351420.96,757.02,3313,1.235714286
Coriander,Nagarkurnool,760,30,60,Loamy,6.4,Low,48.0,8244.48,17.76,45,0.97875
Coriander,Nalgonda,770,32,55,Clay,6.5,Low,585.0,100479.6,216.45,542,1.016
Cotton(Lint),Narayanpet,700,32,55,Sandy,6.3,Low,2126621.0,365268423.0,786849.77,6833175,3.2490625
Cowpea(Lobia),Nirmal,910,28,70,Black,6.7,Medium,781.0,134144.56,288.97,552,0.7692
Cowpea(Lobia),Nizamabad,880,30,60,Loamy,6.4,Medium,2378.0,408445.28,879.86,2311,0.965172414
Dry Chillies,Peddapalli,820,30,60,Black,6.7,Medium,72080.0,12380460.8,26669.6,386314,5.056451613
Dry Chillies,Rajanna Sircilla,810,30,60,Black,6.7,Medium,8499.0,1459788.24,3144.63,50064,5.682608696
Garlic,Rangareddy,720,30,60,Sandy,6.3,Low,23.0,3950.48,8.51,108,4.578333333
Ginger,Sangareddy,760,30,60,Black,6.7,Low,2409.0,413769.84,891.33,15903,6.696
Gram,Siddipet,790,30,60,Loamy,6.4,Low,129914.0,22314028.64,48068.18,199000,1.475333333
Groundnut,Suryapet,750,30,60,Clay,6.5,Low,12363.0,2123468.88,4574.31,33907,2.6504
Groundnut,Vikarabad,800,30,60,Loamy,6.4,Medium,98576.0,16931413.76,36473.12,231466,2.293870968
Horse-Gram,Wanaparthy,730,30,60,Loamy,6.4,Low,431.0,74028.56,159.47,371,0.818333333
Horse-Gram,Warangal,870,30,60,Black,6.7,Medium,619.0,106319.44,229.03,539,0.870526316
Jowar,Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,57139.0,9814194.64,21141.43,67628,1.164482759
Jowar,Adilabad,920,28,70,Black,6.7,Medium,31090.0,5340018.4,11503.3,66128,1.984814815
Maize,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,390692.0,67105257.92,144556.04,1893085,5.12125
Maize,Hanumakonda,860,30,60,Black,6.7,Medium,252561.0,43379877.36,93447.57,1750601,6.5721875
Moong(Green Gram),Hyderabad,700,32,55,Sandy,6.3,Low,59908.0,10289798.08,22165.96,47192,0.750967742
Moong(Green Gram),Jagtial,850,30,60,Black,6.7,Medium,5904.0,1014071.04,2184.48,5598,0.953214286
Onion,Jangaon,800,30,60,Loamy,6.4,Medium,2383.0,409304.08,881.71,53176,21.95478261
Onion,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,5026.0,863265.76,1859.62,172149,32.85966667
Potato,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,994.0,170729.44,367.78,12455,12.98
Ragi,Kamareddy,840,30,60,Loamy,6.4,Medium,1488.0,255578.88,550.56,2355,1.644285714
Ragi,Karimnagar,830,30,60,Black,6.7,Medium,262.0,45001.12,96.94,417,1.572857143
Rice,Khammam,1000,30,60,Clay,6.5,High,1631151.0,280166495.8,603525.87,5985349,3.575625
Rice,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,1585062.0,272250249.1,586472.94,5900447,3.610625
Safflower,Mahabubabad,900,30,60,Clay,6.5,Medium,1584.0,272067.84,586.08,1750,1.106363636
Sesamum,Mahabubnagar,730,32,55,Loamy,6.4,Low,495.0,85021.2,183.15,72,0.095
Sesamum,Mancherial,890,30,60,Black,6.7,Medium,19765.0,3394836.4,7313.05,12579,0.653
Small Millets,Medak,780,30,60,Black,6.7,Low,924.0,158706.24,341.88,1579,1.692
Small Millets,Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,69.0,11851.44,25.53,106,1.825
Soyabean,Mulugu,1150,28,70,Clay,6.5,High,172092.0,29558521.92,63674.04,311224,1.791176471
Sugarcane,Nagarkurnool,760,30,60,Loamy,6.4,Low,26115.0,4485512.4,9662.55,2021771,84.7273913
Sunflower,Nalgonda,770,32,55,Clay,6.5,Low,63.0,10820.88,23.31,141,2.268
Sunflower,Narayanpet,700,32,55,Sandy,6.3,Low,4469.0,767595.44,1653.53,9969,2.166153846
Sweet Potato,Nirmal,910,28,70,Black,6.7,Medium,15.0,2576.4,5.55,235,15.76666667
Sweet Potato,Nizamabad,880,30,60,Loamy,6.4,Medium,108.0,18550.08,39.96,1693,15.6875
Tobacco,Peddapalli,820,30,60,Black,6.7,Medium,1358.0,233250.08,502.46,4173,3.01
Tobacco,Rajanna Sircilla,810,30,60,Black,6.7,Medium,1595.0,273957.2,590.15,4962,3.037777778
Turmeric,Rangareddy,720,30,60,Sandy,6.3,Low,55444.0,9523061.44,20514.28,386596,7.013181818
Urad,Sangareddy,760,30,60,Black,6.7,Low,14723.0,2528822.48,5447.51,13805,0.931481481
Urad,Siddipet,790,30,60,Loamy,6.4,Low,6816.0,1170716.16,2521.92,12269,1.787692308
Wheat,Suryapet,750,30,60,Clay,6.5,Low,4471.0,767938.96,1654.27,8237,1.798461538
